"accession","latitude","longitude","family","genus","country","state","county","locality","date","collector"
9038521,37.87,-122.24,"Telemidae","Usofila","USA","California","Alameda","Berkeley",NA,"LM Smith"
9038522,37.73,-122.07,"Telemidae","Usofila","USA","California","Alameda","Castro Valley",NA,"WM Pearce"
9038523,37.6,-121.95,"Telemidae","Usofila","USA","California","Alameda","Niles, off Niles Cyn. on Palomares Rd.",NA,"V Roth"
9038524,37.8,-122.16,"Telemidae","Usofila","USA","California","Alameda","Oakland",NA,"WG Bentinck"
9038525,37.8,-122.16,"Telemidae","Usofila","USA","California","Alameda","Oakland",NA,"R Schuster"
9038526,37.8,-122.16,"Telemidae","Usofila","USA","California","Alameda","Oakland",NA,"WC Bentinck"
9038527,37.8,-122.16,"Telemidae","Usofila","USA","California","Alameda","Oakland",NA,"J Helfer"
90386281,37.82,-122.2,"Telemidae","Usofila","USA","California","Alameda","Oakland, Mountain Blvd. and Park",NA,"Roth, Schuster"
9038529,37.82,-122.2,"Telemidae","Usofila","USA","California","Alameda","Oakland, Mountain Blvd. and Park",NA,"Roth, Schuster"
90387441,37.86,-122.24,"Telemidae","Usofila","USA","California","Alameda","Berkeley, Claremont Hotel",NA,"PR Craig, DL Dailey"
9038779,37.87,-122.25,"Telemidae","Usofila","USA","California","Alameda","Berkeley, Woolsey Canyon, at end of LeConte St",NA,"TS Briggs, VF Lee, D Ubick"
9038780,37.6,-121.95,"Telemidae","Usofila","USA","California","Alameda","Niles, off Niles Cyn.",NA,"V Roth"
9038530,38.45,-120.64,"Telemidae","Usofila","USA","California","Amador","Connie's Cave, 0.5 mi NW Volcano",NA,"D Ubick"
9038531,38.45,-120.64,"Telemidae","Usofila","USA","California","Amador","Lulu Bell Cave, nr Volcano",NA,"D Ubick"
9038532,38.45,-120.63,"Telemidae","Usofila","USA","California","Amador","Moss Cave, nr. Volcano",NA,"D Ubick"
9038533,38.29,-120.84,"Telemidae","Usofila","USA","California","Amador","Pardee Res., Chrome Cave",NA,"D Ubick"
9038534,38.29,-120.84,"Telemidae","Usofila","USA","California","Amador","Pardee Res., Chrome Cave",NA,"TS Briggs, D Ubick"
9038535,38.45,-120.63,"Telemidae","Usofila","USA","California","Amador","Pearl Cave, 0.2 mi. NE Volcano",NA,"TS Briggs, D Ubick"
9038536,38.44,-120.72,"Telemidae","Usofila","USA","California","Amador","Sutter Creek Cave, WSI #C-61, 3 mi w Volcano",NA,"D Ubick, T Briggs, W Rauscher"
9038537,38.45,-120.64,"Telemidae","Usofila","USA","California","Amador","Connie's Cave, 0.5 mi N Volcano",NA,"Rudolph, Winterath, VanIngen, Dowan"
9038509,39.7,-121.55,"Telemidae","Usofila","USA","California","Butte","Dry Creek Rd, 14 mi N Oroville",NA,"RO Schuster"
9038679,38.09,-120.42,"Telemidae","Usofila","USA","California","Calaveras","Porcupine Cave, 3 mi N of Columbia",NA,"DC Rudolph, S Winterath, B Martin"
9038725,38.07,-120.4,"Telemidae","Usofila","USA","California","Calaveras","Fox Gulch, Lower von Trump Mine",NA,"T Briggs, R Lem"
9038726,38.45,-120.63,"Telemidae","Usofila","USA","California","Calaveras","Buckeye Cave, WSI #C-6, Murphys, twilight zone",NA,"D Ubick"
9038727,38.19,-120.5,"Telemidae","Usofila","USA","California","Calaveras","King Tut Cave",NA,"Dave Cowan"
9038728,38.19,-120.5,"Telemidae","Usofila","USA","California","Calaveras","Cave of the Catacombs, Miller's Cave, Skull Cave, Stanford Grotto #139",NA,"RE Graham"
9038730,38.19,-120.5,"Telemidae","Usofila","USA","California","Calaveras","King Tut Cave",NA,"T Briggs, D Cowan, G Malliet, D Ubick"
9038732,38.04,-120.46,"Telemidae","Usofila","USA","California","Calaveras","Music Hall Cave, WSI #C-2, 4.5 mi ESE Angels Camp",NA,"AG Grubbs, S Winterath, M McEachern, N Boice"
9038733,38.2,-120.5,"Telemidae","Usofila","USA","California","Calaveras","Kenny's Grotto, WSI # C-215",NA,"RE Graham"
9038734,38.16,-120.47,"Telemidae","Usofila","USA","California","Calaveras","Shaw's Cave, Stanford Grotto #36",NA,"R Graham"
9038735,38.05,-120.48,"Telemidae","Usofila","USA","California","Calaveras","Carlow's Bat Cavern, Carlos', 4.5 mi SE Angels Camp",NA,"AG Grubbs, D Broussard, S Winterath"
9038736,38.2,-120.5,"Telemidae","Usofila","USA","California","Calaveras","Cave of Quills",NA,"RE Graham"
9038737,38.16,-120.47,"Telemidae","Usofila","USA","California","Calaveras","Shaw's Cave, Stanford Grotto #36",NA,"RE Graham"
9038738,38.02,-120.48,"Telemidae","Usofila","USA","California","Calaveras","Carlito's Cave, 4.5 mi SE Angels Camp",NA,"AG Grubbs"
9038739,38.04,-120.46,"Telemidae","Usofila","USA","California","Calaveras","Dirty Fissure 4 mi ESE Angels Camp",NA,"AG Grubbs"
9038740,38.16,-120.47,"Telemidae","Usofila","USA","California","Calaveras","Shaw's Cave, Stanford Grotto #36",NA,"M Ivie"
9038741,38.15,-120.48,"Telemidae","Usofila","USA","California","Calaveras","Mercers Cave",NA,"RE Graham"
9038742,38.08,-120.46,"Telemidae","Usofila","USA","California","Calaveras","Eagle View Cave #2, 2/1/2 mi NW Columbia",NA,"DC Rudolph"
9038743,38.16,-120.47,"Telemidae","Usofila","USA","California","Calaveras","Shaw's Cave, Stanford Grotto #36",NA,"RE Graham"
9038744,38.03,-120.46,"Telemidae","Usofila","USA","California","Calaveras","Striped Cave, 4.5 mi SE Angels Camp",NA,"AG Grubbs, O Broussard, S Winterath"
9038745,38.16,-120.47,"Telemidae","Usofila","USA","California","Calaveras","Shaw's Cave, Stanford Grotto #36",NA,"RE Graham"
9038747,38.07,-120.47,"Telemidae","Usofila","USA","California","Calaveras","Moaning Cave, Mays Cave",NA,"R Graham"
9038749,38.2,-120.5,"Telemidae","Usofila","USA","California","Calaveras","Williams Cave",NA,"R Graham"
9038750,38.19,-120.5,"Telemidae","Usofila","USA","California","Calaveras","Cave of the Catacombs, Miller's Cave, Skull Cave, Stanford Grotto #139",NA,"R Graham"
9038751,38.07,-120.41,"Telemidae","Usofila","USA","California","Calaveras","Cave of Skulls, Frenchmen's Cave, Limestone Cave, Stanford Grotto #133, 3 mi N Columbia",NA,"Rudolph, Martin, Winterath, Elliot, Reddell"
9038752,38.2,-120.5,"Telemidae","Usofila","USA","California","Calaveras","Cave of Quills",NA,"R Graham"
9038753,38.03,-120.47,"Telemidae","Usofila","USA","California","Calaveras","Linda's Cave, 4.5 mi SE Angels Camp",NA,"AG Grubbs, D Broussard, N Boice"
9038754,38.16,-120.47,"Telemidae","Usofila","USA","California","Calaveras","Shaw's Cave, Stanford Grotto #36",NA,"R Graham"
9038755,38.04,-120.42,"Telemidae","Usofila","USA","California","Calaveras","Deer Cave, Brown Deer Cave, 7 mi ESE Angels Camp",NA,"AG Grubbs"
9038756,38.05,-120.48,"Telemidae","Usofila","USA","California","Calaveras","Carlow's Cave, Carlos', 4.5 mi SE Angela Camp",NA,"AG Grubbs, N Boice, D Broussard"
9038758,38.16,-120.47,"Telemidae","Usofila","USA","California","Calaveras","Shaw's Cave, Stanford Grotto #36",NA,"R Graham"
9038759,38.07,-120.47,"Telemidae","Usofila","USA","California","Calaveras","Moaning Cave, Mays Cave",NA,"R Graham"
9038760,38.2,-120.5,"Telemidae","Usofila","USA","California","Calaveras","Pseudoscorpion Cave",NA,"R Graham"
9038763,38.16,-120.47,"Telemidae","Usofila","USA","California","Calaveras","Shaw's Cave, Stanford Grotto #36",NA,"M. Ivie"
9038764,38.2,-120.5,"Telemidae","Usofila","USA","California","Calaveras","Cave of Quills",NA,"RE Graham"
9038765,38.2,-120.5,"Telemidae","Usofila","USA","California","Calaveras","Cave of Quills",NA,"RE Graham"
9038766,38.2,-120.5,"Telemidae","Usofila","USA","California","Calaveras","Kenny's Grotto, WSI # C-215",NA,"R Graham"
9038767,38.16,-120.47,"Telemidae","Usofila","USA","California","Calaveras","Shaw's Cave, Stanford Grotto #36",NA,"R Graham"
9038557,37.88,-121.96,"Telemidae","Usofila","USA","California","Contra Costa","Mt. Diablo, N. Gate Rd.",NA,"D Ubick"
9038558,37.88,-121.96,"Telemidae","Usofila","USA","California","Contra Costa","Mt. Diablo, N. Gate Rd.",NA,"D Ubick"
9038559,37.88,-121.96,"Telemidae","Usofila","USA","California","Contra Costa","Mt. Diablo, N. Gate Rd.",NA,"D Ubick"
9038560,37.88,-122.23,"Telemidae","Usofila","USA","California","Contra Costa","Orinda (1 Mi. W.)",NA,"V Roth"
9038561,37.88,-122.23,"Telemidae","Usofila","USA","California","Contra Costa","Orinda Village",NA,"W Ferguson"
9038562,37.8,-122.15,"Telemidae","Usofila","USA","California","Contra Costa","Redwood Park",NA,"R Schuster, EE Gilbert"
9038775,37.92,-122.34,"Telemidae","Usofila","USA","California","Contra Costa","Richmond Univ. Calif Richmond Field Station",NA,NA
9038519,41.26,-124.04,"Telemidae","Usofila","USA","California","Del Norte","18mS Klamath",NA,"Gilbert-Schuster"
9038520,41.26,-124.04,"Telemidae","Usofila","USA","California","Del Norte","18mS Klamath",NA,"Gilbert-Schuster"
9038784,41.8,-124.08,"Telemidae","Usofila","USA","California","Del Norte","Jedediah Smith Redwoods State Park",NA,"LJ Boutin"
9038563,38.89,-120.82,"Telemidae","Usofila","USA","California","El Dorado","3 mi N Placerville",NA,"RO Schuster"
9038564,38.81,-121.08,"Telemidae","Usofila","USA","California","El Dorado","Alabaster Cave",NA,"L Readdy"
9038565,38.81,-121.08,"Telemidae","Usofila","USA","California","El Dorado","Alabaster Cave",NA,"L Readdy"
9038566,38.81,-121.08,"Telemidae","Usofila","USA","California","El Dorado","Alabaster Cave",NA,"Marx"
9038568,38.77,-120.29,"Telemidae","Usofila","USA","California","El Dorado","Kyburg (Kyburz)",NA,"SF Bailey"
9038569,38.58,-120.84,"Telemidae","Usofila","USA","California","El Dorado","Nr. Nashville",NA,"LM Smith, RO Schuster"
9038570,38.58,-120.84,"Telemidae","Usofila","USA","California","El Dorado","Nr. Nashville",NA,"LM Smith, RO Schuster"
9038571,38.77,-120.45,"Telemidae","Usofila","USA","California","El Dorado","Riverton",NA,"RO Schuster"
9038572,38.77,-120.37,"Telemidae","Usofila","USA","California","El Dorado","4 mi W of Kyburz",NA,"WJ Gertsch, V Roth"
9038573,41.26,-124.04,"Telemidae","Usofila","USA","California","Humboldt","18 mi S Klamath",NA,"GA Marsh, RO Schuster"
