Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Yersinia pestis strain 86025 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177713.1?report=genbank&log$=nucltop&blast_rank=1&RID=UWJMX3WD014"",""CP177713.1"")"
"Yersinia pestis strain 680169 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,94251,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177500.1?report=genbank&log$=nucltop&blast_rank=2&RID=UWJMX3WD014"",""CP177500.1"")"
"Yersinia pestis strain 56008 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,101723,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177607.1?report=genbank&log$=nucltop&blast_rank=3&RID=UWJMX3WD014"",""CP177607.1"")"
"Yersinia pestis strain 34011 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,100918,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177680.1?report=genbank&log$=nucltop&blast_rank=4&RID=UWJMX3WD014"",""CP177680.1"")"
"Yersinia pestis strain 52005 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,101694,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177999.1?report=genbank&log$=nucltop&blast_rank=5&RID=UWJMX3WD014"",""CP177999.1"")"
"Yersinia pestis strain 74008 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,100935,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177470.1?report=genbank&log$=nucltop&blast_rank=6&RID=UWJMX3WD014"",""CP177470.1"")"
"Yersinia pestis strain 46507 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,96206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177557.1?report=genbank&log$=nucltop&blast_rank=7&RID=UWJMX3WD014"",""CP177557.1"")"
"Yersinia pestis strain 6/69 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP166967.1?report=genbank&log$=nucltop&blast_rank=8&RID=UWJMX3WD014"",""CP166967.1"")"
"Yersinia pestis strain 15002 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177523.1?report=genbank&log$=nucltop&blast_rank=9&RID=UWJMX3WD014"",""CP177523.1"")"
"Yersinia pestis strain CMCC92010 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,99290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178011.1?report=genbank&log$=nucltop&blast_rank=10&RID=UWJMX3WD014"",""CP178011.1"")"
"Yersinia pestis strain 60007 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,101698,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177933.1?report=genbank&log$=nucltop&blast_rank=11&RID=UWJMX3WD014"",""CP177933.1"")"
"Yersinia pestis strain 71037 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,100984,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178054.1?report=genbank&log$=nucltop&blast_rank=12&RID=UWJMX3WD014"",""CP178054.1"")"
"Yersinia pestis strain 44040 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,99017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177442.1?report=genbank&log$=nucltop&blast_rank=13&RID=UWJMX3WD014"",""CP177442.1"")"
"Yersinia pestis strain 372009 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,100918,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177637.1?report=genbank&log$=nucltop&blast_rank=14&RID=UWJMX3WD014"",""CP177637.1"")"
"Yersinia pestis strain 195/P plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,96196,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP019709.1?report=genbank&log$=nucltop&blast_rank=15&RID=UWJMX3WD014"",""CP019709.1"")"
"Yersinia pestis strain J340003 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,100918,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177630.1?report=genbank&log$=nucltop&blast_rank=16&RID=UWJMX3WD014"",""CP177630.1"")"
"Yersinia pestis Angola plasmid pMT, complete sequence",Yersinia pestis Angola,688,688,100%,0.0,98.96,95352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP009934.1?report=genbank&log$=nucltop&blast_rank=17&RID=UWJMX3WD014"",""CP009934.1"")"
"Yersinia pestis strain 81005 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177737.1?report=genbank&log$=nucltop&blast_rank=18&RID=UWJMX3WD014"",""CP177737.1"")"
"Yersinia pestis strain O010017 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177696.1?report=genbank&log$=nucltop&blast_rank=19&RID=UWJMX3WD014"",""CP177696.1"")"
"Yersinia pestis strain 86010 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177715.1?report=genbank&log$=nucltop&blast_rank=20&RID=UWJMX3WD014"",""CP177715.1"")"
"Yersinia pestis strain 19039 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,77483,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177789.1?report=genbank&log$=nucltop&blast_rank=21&RID=UWJMX3WD014"",""CP177789.1"")"
"Yersinia pestis strain J070005 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,94251,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177797.1?report=genbank&log$=nucltop&blast_rank=22&RID=UWJMX3WD014"",""CP177797.1"")"
"Yersinia pestis strain 91_KR plasmid pFra, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,100915,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP151605.1?report=genbank&log$=nucltop&blast_rank=23&RID=UWJMX3WD014"",""CP151605.1"")"
"Yersinia pestis 1412 plasmid pMT, complete sequence",Yersinia pestis 1412,688,688,100%,0.0,98.96,137017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP006779.1?report=genbank&log$=nucltop&blast_rank=24&RID=UWJMX3WD014"",""CP006779.1"")"
"Yersinia pestis strain 45120 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,100985,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177429.1?report=genbank&log$=nucltop&blast_rank=25&RID=UWJMX3WD014"",""CP177429.1"")"
"Yersinia pestis strain J390001 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177775.1?report=genbank&log$=nucltop&blast_rank=26&RID=UWJMX3WD014"",""CP177775.1"")"
"Yersinia pestis strain 770432 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,101255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178077.1?report=genbank&log$=nucltop&blast_rank=27&RID=UWJMX3WD014"",""CP178077.1"")"
"Yersinia pestis 790 plasmid pMT, complete sequence",Yersinia pestis 790,688,688,100%,0.0,98.96,142771,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP006807.1?report=genbank&log$=nucltop&blast_rank=28&RID=UWJMX3WD014"",""CP006807.1"")"
"Yersinia pestis strain 2 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,100925,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP178014.1?report=genbank&log$=nucltop&blast_rank=29&RID=UWJMX3WD014"",""CP178014.1"")"
